Date,Year,Haul,Station,Transect,Region,Depth,Taxon,Sex,Split,Count,Species Code,Subsample (mL_,TotVol,5MinTowExpansion,CPUE
5/7/2015,2015,18,123,Dvpt,Central,,Ep,Both,1,104,1816,3,12,3,1248
5/7/2015,2015,18,123,Dvpt,Central,,Ts,Both,1,1,1473,3,12,3,12
5/7/2015,2015,18,123,Dvpt,Central,,Nd,Both,1,0,1847,3,12,3,0
5/8/2015,2015,21,126,Dvpt,Central,,Ep,Male,16,37,1816,200,3887.5,1,719.1875
5/8/2015,2015,21,126,Dvpt,Central,,Ep,Female,16,91,1816,200,3887.5,1,1768.813
5/8/2015,2015,21,126,Dvpt,Central,,Ep,Both,16,128,1816,200,3887.5,1,2488
5/8/2015,2015,21,126,Dvpt,Central,,Ts,Male,16,0,1473,200,3887.5,1,0
5/8/2015,2015,21,126,Dvpt,Central,,Ts,Female,16,0,1473,200,3887.5,1,0
5/8/2015,2015,21,126,Dvpt,Central,,Ts,Both,16,0,1473,200,3887.5,1,0
5/8/2015,2015,21,126,Dvpt,Central,,Nd,Male,16,0,1847,200,3887.5,1,0
5/8/2015,2015,21,126,Dvpt,Central,,Nd,Female,16,1,1847,200,3887.5,1,19.4375
5/8/2015,2015,21,126,Dvpt,Central,,Nd,Both,16,1,1847,200,3887.5,1,19.4375
5/8/2015,2015,22,131,Pesc,central,,Ep,Both,1,2,1816,1,1,3,6
5/9/2015,2015,26,135,Pesc,Central,,Ep,male,1,25,1816,3000,111000,1,925
5/9/2015,2015,26,135,Pesc,Central,,Ep,female,1,21,1816,3000,111000,1,777
5/9/2015,2015,26,135,pesc,Central,,Ep,Both,1,46,1816,3000,111000,1,1702
5/9/2015,2015,26,135,Pesc,Central,,Nd,male,1,0,1847,3000,111000,1,0
5/9/2015,2015,26,135,Pesc,Central,,Nd,female,1,2,1847,3000,111000,1,74
5/9/2015,2015,26,235,Pesc,Central,,Nd,Both,1,2,1847,3000,111000,1,74
5/18/2015,2015,61,211,Mbay,Central,,Ep,both,1,12,1816,2,16,3,288
5/18/2015,2015,61,211,Mbay,Central,,Nd,both,1,16,1847,2,16,3,384
5/19/2015,2015,63,109,Mbay,Central,,Ep,Male,16,58,1816,200,6450,3,5611.5
5/19/2015,2015,63,109,Mbay,Central,,Ep,Female,16,102,1816,200,6450,3,9868.5
5/19/2015,2015,63,109,Mbay,Central,,Ep,Both,16,163,1816,200,6450,3,15770.25
5/19/2015,2015,63,109,Mbay,Central,,Ts,Male,16,0,1473,200,6450,3,0
5/19/2015,2015,63,109,Mbay,Central,,Ts,Female,16,0,1473,200,6450,3,0
5/19/2015,2015,63,109,Mbay,Central,,Ts,Both,16,0,1473,200,6450,3,0
5/19/2015,2015,63,109,Mbay,Central,,Nd,Male,16,0,1847,200,6450,3,0
5/19/2015,2015,63,109,Mbay,Central,,Nd,Female,16,0,1847,200,6450,3,0
5/19/2015,2015,63,109,Mbay,Central,,Nd,Both,16,0,1847,200,6450,3,0
5/19/2015,2015,63,109,Mbay,Central,,Ns,Male,16,4,0,200,6450,3,387
5/19/2015,2015,63,109,Mbay,Central,,Ns,Female,16,1,0,200,6450,3,96.75
5/19/2015,2015,63,109,Mbay,Central,,Ns,Both,16,5,0,200,6450,3,483.75
5/19/2015,2015,64,117,Mbay,Central,,Ep,Male,16,39,1816,200,2700,3,1579.5
5/19/2015,2015,64,117,Mbay,Central,,Ep,Female,16,76,1816,200,2700,3,3078
5/19/2015,2015,64,117,Mbay,Central,,Ep,Both,16,115,1816,200,2700,3,4657.5
5/19/2015,2015,64,117,Mbay,Central,,Ts,Male,16,0,1473,200,2700,3,0
5/19/2015,2015,64,117,Mbay,Central,,Ts,Female,16,0,1473,200,2700,3,0
5/19/2015,2015,64,117,Mbay,Central,,Ts,Both,16,0,1473,200,2700,3,0
5/19/2015,2015,64,117,Mbay,Central,,Nd,Male,16,0,1847,200,2700,3,0
5/19/2015,2015,64,117,Mbay,Central,,Nd,Female,16,0,1847,200,2700,3,0
5/19/2015,2015,64,117,Mbay,Central,,Nd,Both,16,0,1847,200,2700,3,0
5/19/2015,2015,65,131,Pesc,Central,,Ep,both,1,18,1816,5,5,3,54
5/19/2015,2015,65,131,Pesc,Central,,Ns,both,1,152,0,5,5,3,456
5/20/2015,2015,70,162,FarOut,Central,,Ep,Male,21.33333,41,1816,200,9000,3,5535
5/20/2015,2015,70,162,FarOut,Central,,Ep,Female,21.33333,69,1816,200,9000,3,9315
5/20/2015,2015,70,162,FarOut,Central,,Ep,Both,21.33333,110,1816,200,9000,3,14850
5/20/2015,2015,70,162,FarOut,Central,,Ts,Male,21.33333,0,1473,200,9000,3,0
5/20/2015,2015,70,162,FarOut,Central,,Ts,Female,21.33333,0,1473,200,9000,3,0
5/20/2015,2015,70,162,FarOut,Central,,Ts,Both,21.33333,0,1473,200,9000,3,0
5/20/2015,2015,70,162,FarOut,Central,,Nd,Male,21.33333,0,1847,200,9000,3,0
5/20/2015,2015,70,162,FarOut,Central,,Nd,Female,21.33333,0,1847,200,9000,3,0
5/20/2015,2015,70,162,FarOut,Central,,Nd,Both,21.33333,0,1847,200,9000,3,0
5/21/2015,2015,72,156,FarOut,Central,,Ep,Male,16,48,1816,200,448,3,322.56
5/21/2015,2015,72,156,FarOut,Central,,Ep,Female,16,52,1816,200,448,3,349.44
5/21/2015,2015,72,156,FarOut,Central,,Ep,Both,16,108,1816,200,448,3,725.76
5/21/2015,2015,72,156,FarOut,Central,,Ts,Male,4,51,1473,200,448,3,342.72
5/21/2015,2015,72,156,FarOut,Central,,Ts,Female,4,7,1473,200,448,3,47.04
5/21/2015,2015,72,156,FarOut,Central,,Ts,Both,4,62,1473,200,448,3,416.64
5/21/2015,2015,72,156,FarOut,Central,,Nd,Male,4,0,1847,200,448,3,0
5/21/2015,2015,72,156,FarOut,Central,,Nd,Female,4,0,1847,200,448,3,0
5/21/2015,2015,72,156,FarOut,Central,,Nd,Both,4,0,1847,200,448,3,0
5/21/2015,2015,73,152,FarOut,Central,,Ep,Both,1,80,1816,12,308,3,6160
5/21/2015,2015,73,152,FarOut,Central,,Ts,Both,1,81,1473,12,308,3,6237
5/21/2015,2015,73,152,FarOut,Central,,Ns,Both,1,3,0,12,308,3,231
5/29/2015,2015,98,461,PtRey,Central,,Ep,Male,1,0,1816,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Ep,Female,1,0,1816,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Ep,Both,1,0,1816,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Ts,Male,1,0,1473,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Ts,Female,1,0,1473,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Ts,Both,1,0,1473,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Nd,Male,1,0,1847,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Nd,Female,1,0,1847,1,1,3,0
5/29/2015,2015,98,461,PtRey,Central,,Nd,Both,1,0,1847,1,1,3,0
5/30/2015,2015,102,165,PtRey,Central,,Ep,both,1,3,1816,500,2100,3,37.8
5/30/2015,2015,102,165,PtRey,Central,,Ts,both,1,1,1473,500,2100,3,12.6
5/31/2015,2015,107,162,FarOut,Central,,Ep,both,1,93,1816,3000,6400,3,595.2
5/31/2015,2015,107,162,FarOut,Central,,Ts,both,1,3,1473,3000,6400,3,19.2
5/31/2015,2015,107,162,FarOut,Central,,Nd,both,1,1,1847,3000,6400,3,6.4
6/2/2015,2015,116,119,Mbay,Central,,Ep,Male,1,35,1816,15,36,3,252
6/2/2015,2015,116,119,Mbay,Central,,Ep,Female,1,78,1816,15,36,3,561.6
6/2/2015,2015,116,119,Mbay,Central,,Ep,Juv,1,4,1816,15,36,3,28.8
6/2/2015,2015,116,119,Mbay,Central,,Ep,Both,1,117,1816,15,36,3,842.4
6/2/2015,2015,116,119,Mbay,Central,,Ts,Male,1,10,1473,15,36,3,72
6/2/2015,2015,116,119,Mbay,Central,,Ts,Female,1,8,1473,15,36,3,57.6
6/2/2015,2015,116,119,Mbay,Central,,Ts,Juv,1,1,1473,15,36,3,7.2
6/2/2015,2015,116,119,Mbay,Central,,Ts,Both,1,19,1473,15,36,3,136.8
6/2/2015,2015,116,119,Mbay,Central,,Nd,Male,1,0,1847,15,36,3,0
